Abordagem,n_features,n_features_calc,n_params_tunados,t_features_alloc (s),t_tuning (s),t_treino (s),t_forecast (s),t_total_modelo (s),t_total (s),RMSE,sMAPE (%)
Data-Centric,19.0,7.0,0.0,0.005,0.0,3.964,0.395,4.359,4.364,11804.353,9.427
Model-Centric,12.0,0.0,4.667,0.002,1598.086,0.0,0.006,1598.092,1598.094,12845.251,11.923
